step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
924,0.08903,0.99099,,
925,0.06722,0.99091,,
926,5e-05,1.0,,
927,5e-05,1.0,,
928,0.00134,1.0,,
929,7e-05,1.0,,
930,5e-05,1.0,,
931,0.00107,1.0,,
932,0.12131,0.99138,,
933,5e-05,1.0,,
934,8e-05,1.0,,
935,3e-05,1.0,,
936,0.04616,0.98148,,
937,5e-05,1.0,,
938,7e-05,1.0,,
939,0.01749,0.99115,,
940,0.00469,1.0,,
941,7e-05,1.0,,
942,9e-05,1.0,,
943,0.00012,1.0,,
944,0.0447,0.99153,,
945,0.00018,1.0,,
946,0.00029,1.0,,
947,0.00031,1.0,,
948,0.0533,0.99099,,
949,0.00026,1.0,,
950,0.00026,1.0,,
951,0.13536,0.97581,,
952,0.0118,0.99115,,
953,0.00013,1.0,,
954,8e-05,1.0,,
955,8e-05,1.0,,
956,0.0648,0.99138,,
957,0.00012,1.0,,
958,7e-05,1.0,,
959,8e-05,1.0,,
960,0.00027,1.0,,
961,0.02928,0.99115,,
962,0.00013,1.0,,
963,0.07907,0.99123,,
964,0.02603,0.99115,,
965,0.03974,0.99138,,
966,0.04511,0.99145,,
967,0.07625,0.99091,,
968,0.04482,0.9916,,
969,0.05297,0.99107,,
970,0.19046,0.97368,,
971,0.00011,1.0,,
972,0.1519,0.98333,,
973,0.00055,1.0,,
974,0.04256,0.99138,,
975,0.00033,1.0,,
976,0.00034,1.0,,
977,0.05419,0.99138,,
978,0.0325,0.99091,,
979,0.0001,1.0,,
980,0.00022,1.0,,
981,0.05838,0.98291,,
982,0.00033,1.0,,
983,0.00028,1.0,,
984,0.00051,1.0,,
985,0.00018,1.0,,
986,7e-05,1.0,,
987,0.02132,0.9918,,
988,0.01293,0.99123,,
989,0.00029,1.0,,
990,6e-05,1.0,,
991,0.09053,0.99083,,
992,0.00961,1.0,,
993,7e-05,1.0,,
994,0.00055,1.0,,
995,0.003,1.0,,
996,0.00892,1.0,,
997,0.00018,1.0,,
998,0.00028,1.0,,
999,0.03383,0.99091,,
1000,0.03383,0.99115,0.00026,1.0
1001,0.03784,0.99091,,
1002,0.00018,1.0,,
1003,0.00037,1.0,,
1004,9e-05,1.0,,
1005,0.04249,0.99115,,
1006,0.00779,0.99099,,
1007,0.0001,1.0,,
1008,0.04556,0.99099,,
1009,0.00017,1.0,,
1010,0.00014,1.0,,
1011,0.00022,1.0,,
1012,0.00024,1.0,,
1013,6e-05,1.0,,
1014,4e-05,1.0,,
1015,0.02119,0.99115,,
1016,0.10701,0.99065,,
1017,0.0001,1.0,,
1018,0.10975,0.98148,,
1019,0.00013,1.0,,
1020,0.00061,1.0,,
1021,0.04856,0.99099,,
1022,0.00069,1.0,,
1023,7e-05,1.0,,
